product_category,total_orders,detractors,pct_detractors,avg_year
"['AUS Lighting - Indoor - Lamps,AUS Furniture - Bedroom - Chest of Drawers,AUS Rugs - Rugs,AUS Kids - S&O - Toy Boxes & Kids Storage Units']",1,1,100.0,2019.0
"['AUS Furniture - Occasional - Side/End Tables,AUS S&O - Laundry Baskets & Organisation']",2,0,0.0,2018.0
"['AUS Manchester - Mattress Protectors & Accessories,AUS Manchester - Pillows']",1,0,0.0,2019.0
"['AUS Office - Filing Cabinets,AUS Office - Desks,AUS Furniture - Occasional - Coffee Tables,AUS Rugs - Rugs,AUS Rugs - Rugs']",1,0,0.0,2019.0
"['AUS Furniture - Bedroom - Bedheads,AUS Furniture - Bedroom - Bedheads,AUS Furniture - Bedroom - Bedheads,AUS Lighting - Indoor - Ceiling Fixtures,AUS Lighting - Indoor - Ceiling Fixtures,AUS Lighting - Indoor - Ceiling Fixtures,AUS Lighting - Lamp Shades,AUS Lighting - Lamp Shades,AUS Lighting - Lamp Shades,AUS Lighting - Indoor - Ceiling Fixtures,AUS Home Décor - Mirrors']",1,0,0.0,2019.0
"['AUS Home Décor - Jewellery Boxes,AUS Home Décor - Vases,AUS Home Décor - Artificial Plants & Flowers,AUS Kitchenware - Kitchen & Butler Trays']",1,0,0.0,2019.0
"['AUS Home Décor - Wall Shelving,AUS Home Décor - Wall Shelving']",15,6,40.0,2019.0
"['AUS Home Décor - Wall Art,AUS Home Décor - Wall Art,AUS Home Décor - Vases,AUS Furniture - Bar Stools']",1,1,100.0,2019.0
"['AUS Manchester - Home - Cushions,AUS Manchester - Home - Cushions,AUS Manchester - Home - Cushions,AUS Manchester - Home - Cushions']",31,4,12.9,2020.0
"['AUS Furniture - Furniture Covers,AUS Lighting - Indoor - Lamps']",1,0,0.0,2019.0
"['AUS Home Décor - Wall Art,AUS Home Décor - Wall Art,AUS Home Décor - Wall Art,AUS Home Décor - Wall Art,AUS Home Décor - Wall Art,AUS Home Décor - Wall Art,AUS Home Décor - Wall Art,AUS Home Décor - Wall Art']",1,0,0.0,2019.0
"['AUS Manchester - Home - Kitchen/Cooking Linens,AUS Dinnerware - Teacups & Mugs,AUS Dinnerware - Plates & Bowls']",1,0,0.0,2019.0
"['AUS Furniture - Outdoor - Benches,AUS Furniture - Bedroom - Chest of Drawers']",2,0,0.0,2019.0
"['AUS Bathroomware - Bathroom Taps & Mixers,AUS Home Décor - Wall Decals'
 'Stickers & Murals,AUS Home Décor - Wall Art']",1,0,0.0,2019.0
"['AUS Bathroomware - Bathroom Fixtures,AUS Home Décor - Mirrors,AUS Office - Office Chairs']",1,0,0.0,2020.0
"['AUS Home Décor - Statues & Ornaments,AUS Furniture - Drinks Trolleys & Serving Carts']",1,0,0.0,2019.0
"['AUS Kids - Outdoor Play,AUS Kids - Furniture - Tables & Chairs']",2,0,0.0,2020.0
"['AUS Rugs - Rugs,AUS Rugs - Rugs,AUS Bar & Wine - Barware & Accessories,AUS Bar & Wine - Barware & Accessories']",1,0,0.0,2020.0
"['AUS Furniture - Dining - Dining Chairs,AUS Kitchenware - [Appliances] Kettles & Toasters']",1,0,0.0,2020.0
"['AUS Dinnerware - Dinnerware Sets,AUS Manchester - Bath - Bath Towels & Bath Mats,AUS Manchester - Bath - Bath Towels & Bath Mats,AUS Dinnerware - Drinkware - Glasses,AUS Kitchenware - [Cooking] Casseroles/Dutch Ovens']",1,0,0.0,2020.0
"['AUS Furniture - Entertainment - TV Units,AUS Furniture - Occasional - Coffee Tables']",33,6,18.18,2019.0
"['AUS Bathroomware - Bathroom Taps & Mixers,AUS Bathroomware - Bathroom Taps & Mixers']",5,1,20.0,2019.0
"['AUS Lighting - Indoor - Lamps,AUS Furniture - Occasional - Console Tables,AUS Kitchenware - Kitchen & Butler Trays,AUS Kitchenware - Kitchen & Butler Trays,AUS Furniture - Occasional - Side/End Tables']",1,0,0.0,2020.0
